OBJECTID,COUNTYFP10,GEOID10,COUNTY,TRACT,BLOCK,TOTAL_HOUSING_UNITS,OCCUPIED,VACANT,ACRES,SHAPEAREA,SHAPELEN
4218,005,100050504081039,005,050408,1039,2,2,0,12.681838,51321.575977,1198.322749
4219,005,100050504031059,005,050403,1059,8,8,0,23.569586,95382.729486,1431.075397
4220,005,100050504081006,005,050408,1006,2,1,1,23.174072,93782.143464,1460.916546
4221,005,100050504082041,005,050408,2041,0,0,0,40.469794,163775.443802,1597.444084
4222,005,100050504061025,005,050406,1025,0,0,0,102.793996,415992.544795,8488.276653
4223,005,100050504061041,005,050406,1041,1,1,0,7.87314,31861.467118,766.317748
4224,005,100050504082036,005,050408,2036,0,0,0,25.086659,101522.105641,3372.335241
4225,005,100050508022036,005,050802,2036,27,26,1,1227.3558,4966932.702096,10612.293393
4226,005,100050508022051,005,050802,2051,24,16,8,74.993297,303487.106028,2789.42789
4227,005,100050508011014,005,050801,1014,41,34,7,372.200457,1506241.808322,5395.907647
4228,005,100050508034045,005,050803,4045,0,0,0,0.222378,899.93108,130.904144
4229,005,100050508034043,005,050803,4043,22,10,12,13.005566,52631.656622,1111.652491
4230,005,100050508022093,005,050802,2093,0,0,0,0.959901,3884.579856,294.404716
4231,005,100050508012049,005,050801,2049,13,11,2,5.678707,22980.910122,664.671599
4232,005,100050508012052,005,050801,2052,9,8,1,5.339514,21608.245,655.001247
4233,005,100050508012053,005,050801,2053,8,7,1,5.216926,21112.151903,651.405871
4234,005,100050508012055,005,050801,2055,25,16,9,25.523344,103289.308367,1329.283915
4235,005,100050508021006,005,050802,1006,9,6,3,3.059626,12381.865432,445.491734
4236,005,100050508021035,005,050802,1035,13,11,2,21.56718,87279.280451,1359.563961
4237,005,100050508021000,005,050802,1000,23,16,7,34.300968,138811.092548,1872.53187
4238,005,100050508034034,005,050803,4034,6,4,2,12.731848,51523.960915,907.521091
4239,005,100050508031048,005,050803,1048,2,2,0,20.860742,84420.42809,1754.303821
4240,005,100050507042016,005,050704,2016,0,0,0,52.828065,213787.592973,5329.460487
4241,005,100050507011011,005,050701,1011,9,7,2,11.780068,47672.245415,1158.092656
4242,005,100050506022054,005,050602,2054,79,57,22,38.263161,154845.517547,2745.538047
4243,005,100050508012032,005,050801,2032,9,9,0,5.194384,21020.927293,611.709553
4244,005,100050508011006,005,050801,1006,7,7,0,29.263491,118425.147135,1659.382623
4245,005,100050504031082,005,050403,1082,11,9,2,721.244837,2918774.300148,7848.638661
4246,005,100050504071028,005,050407,1028,0,0,0,4.235954,17142.298335,1422.329737
4247,005,100050504061033,005,050406,1033,11,8,3,11.727919,47461.205023,981.85361
4248,005,100050504072007,005,050407,2007,1,1,0,9.92453,40163.14834,1025.629197
4249,005,100050504071020,005,050407,1020,0,0,0,4.842278,19596.004438,1157.983835
4250,005,100050504071021,005,050407,1021,0,0,0,10.438112,42241.54196,1003.196642
4251,005,100050504061051,005,050406,1051,0,0,0,20.264248,82006.50274,1187.863982
4252,005,100050503011016,005,050301,1016,0,0,0,201.11812,813896.157453,4889.863094
4253,005,100050503012120,005,050301,2120,9,8,1,488.056306,1975093.794971,9829.780902
4254,005,100050503012140,005,050301,2140,2,2,0,185.699849,751500.628247,5297.996584
4255,005,100050503011001,005,050301,1001,1,0,1,143.714569,581592.225195,3594.088571
4256,005,100050503011021,005,050301,1021,0,0,0,8.643542,34979.174667,845.47974
4257,005,100050503012007,005,050301,2007,1,1,0,117.486971,475452.903159,3342.047602
4258,005,100050503011003,005,050301,1003,0,0,0,25.933487,104949.100232,1549.430523
4259,005,100050503011009,005,050301,1009,0,0,0,12.063156,48817.860395,1027.460669
4260,005,100050503011099,005,050301,1099,0,0,0,2.802189,11340.058295,493.682814
4261,005,100050503011095,005,050301,1095,2,1,1,68.382391,276733.719683,3156.283682
4262,005,100050518012083,005,051801,2083,8,6,2,44.221691,178958.832862,2217.105196
4263,005,100050518022005,005,051802,2005,12,12,0,15.560752,62972.129551,1278.248067
4264,005,100050518022022,005,051802,2022,7,7,0,2.724511,11025.704968,425.240453
4265,005,100050504073026,005,050407,3026,0,0,0,113.140678,457864.079461,9638.118984
4266,005,100050504081012,005,050408,1012,252,221,31,1009.717303,4086180.954493,11079.253417
4267,005,100050504063015,005,050406,3015,1,1,0,1.196894,4843.659218,351.368033
4268,005,100050504061057,005,050406,1057,0,0,0,3.352936,13568.851519,511.006151
4269,005,100050504012018,005,050401,2018,57,55,2,287.326023,1162767.159722,6213.973016
4270,005,100050508022030,005,050802,2030,0,0,0,229.546809,928942.979595,5536.173916
4271,005,100050515001050,005,051500,1050,0,0,0,0.130865,529.590075,108.646681
4272,005,100050513011011,005,051301,1011,4,4,0,18.187274,73601.286736,1126.388685
4273,005,100050513011024,005,051301,1024,50,17,33,27.225146,110176.257121,1701.810147
4274,005,100050513011045,005,051301,1045,28,21,7,43.088518,174373.044222,2004.808873
4275,005,100050515002006,005,051500,2006,0,0,0,10.436536,42235.162707,917.940176
4276,005,100050515003002,005,051500,3002,22,19,3,24.905749,100789.990172,1511.84789
4277,005,100050513021010,005,051302,1010,18,11,7,13.401716,54234.821511,1134.899388
4278,005,100050513021069,005,051302,1069,0,0,0,0.165169,668.414632,125.308568
4279,005,100050513021026,005,051302,1026,5,5,0,148.058907,599173.137628,3691.850496
4280,005,100050513011042,005,051301,1042,2,2,0,82.685129,334614.843502,2918.876596
4281,005,100050513021021,005,051302,1021,18,9,9,12.687247,51343.467497,1028.310623
4282,005,100050513021023,005,051302,1023,21,7,14,11.285597,45671.19147,944.313888
4283,005,100050513022002,005,051302,2002,0,0,0,34.429642,139331.81884,1491.96816
4284,005,100050513021033,005,051302,1033,0,0,0,100.435577,406448.36121,4018.881119
4285,005,100050504071035,005,050407,1035,107,97,10,446.606599,1807352.784523,7775.811347
4286,005,100050504061062,005,050406,1062,6,5,1,6.486949,26251.750551,649.888263
4287,005,100050504062002,005,050406,2002,2,2,0,142.701659,577493.126128,3257.285007
4288,005,100050504062050,005,050406,2050,2,2,0,3.938231,15937.456813,517.345661
4289,005,100050504062049,005,050406,2049,12,12,0,12.440116,50343.36368,1068.010355
4290,005,100050504062039,005,050406,2039,7,6,1,3.765703,15239.260922,508.761213
4291,005,100050512011008,005,051201,1008,0,0,0,6.221568,25177.790601,1304.870479
4292,005,100050513013027,005,051301,3027,0,0,0,26.18755,105977.254908,1888.740444
4293,005,100050512011076,005,051201,1076,5,2,3,223.335728,903807.6255,4253.916311
4294,005,100050513033026,005,051303,3026,0,0,0,5.151259,20846.407246,664.978805
4295,005,100050512041005,005,051204,1005,4,1,3,0.969458,3923.259234,365.682359
4296,005,100050512041009,005,051204,1009,10,2,8,2.619514,10600.795763,449.382605
4297,005,100050512042016,005,051204,2016,8,0,8,3.544242,14343.038135,566.680816
4298,005,100050512042021,005,051204,2021,9,6,3,2.99736,12129.887282,546.101865
4299,005,100050518022008,005,051802,2008,13,10,3,12.945467,52388.446532,1289.920806
4300,005,100050518011022,005,051801,1022,9,8,1,55.531924,224729.725044,3426.737271
4301,005,100050518022033,005,051802,2033,10,6,4,5.859808,23713.802788,788.347061
4302,005,100050518021014,005,051802,1014,11,11,0,7.137608,28884.876657,826.794247
4303,005,100050518021000,005,051802,1000,1,1,0,1.880131,7608.620331,361.120703
4304,005,100050517011057,005,051701,1057,8,8,0,373.071263,1509765.834968,5375.50274
4305,005,100050518022045,005,051802,2045,19,18,1,6.056107,24508.19363,700.413938
4306,005,100050518022054,005,051802,2054,13,13,0,3.312725,13406.122281,481.9121
4307,005,100050518021045,005,051802,1045,20,14,6,24.969312,101047.219437,1414.648622
4308,005,100050517012104,005,051701,2104,8,6,2,7.957162,32201.492,754.576133
4309,005,100050518022062,005,051802,2062,18,10,8,5.647976,22856.546295,652.434497
4310,005,100050518021010,005,051802,1010,16,12,4,4.006491,16213.695269,558.816409
4311,005,100050518021035,005,051802,1035,73,59,14,31.0465,125640.726323,1494.512908
4312,005,100050517012106,005,051701,2106,6,6,0,6.871345,27807.347139,686.522647
4313,005,100050518021051,005,051802,1051,3,3,0,2.573095,10412.946098,416.537274
4314,005,100050504051017,005,050405,1017,0,0,0,65.369702,264541.797877,3210.990162
4315,005,100050504081033,005,050408,1033,40,35,5,267.767181,1083615.334855,4468.626014
4316,005,100050504012028,005,050401,2028,0,0,0,11.106487,44946.358317,866.342794
4317,005,100050504082002,005,050408,2002,20,20,0,389.012823,1574279.040441,5204.358332
4318,005,100050512042028,005,051204,2028,0,0,0,0.734074,2970.69086,290.901722
4319,005,100050512022041,005,051202,2041,0,0,0,1.369749,5543.176927,491.058438
4320,005,100050513053029,005,051305,3029,1,1,0,8.353431,33805.134468,803.573414
4321,005,100050514001106,005,051400,1106,0,0,0,1.337954,5414.506911,830.131685
4322,005,100050513032034,005,051303,2034,0,0,0,7.024529,28427.258453,782.732471
4323,005,100050515004069,005,051500,4069,6,6,0,15.990846,64712.657428,1235.380519
4324,005,100050512022047,005,051202,2047,0,0,0,1.568748,6348.49614,553.24796
4325,005,100050515002081,005,051500,2081,0,0,0,1.171489,4740.848915,461.231235
4326,005,100050513013006,005,051301,3006,14,9,5,13.968338,56527.860293,1066.970032
4327,005,100050513031013,005,051303,1013,9,6,3,6.289659,25453.347358,717.112357
4328,005,100050513061005,005,051306,1005,1,0,1,6.811353,27564.56961,1220.974593
4329,005,100050515002007,005,051500,2007,0,0,0,4.420095,17887.49163,977.048713
4330,005,100050513012025,005,051301,2025,0,0,0,6.449261,26099.232269,653.681593
4331,005,100050513012012,005,051301,2012,0,0,0,4.652914,18829.675155,556.524916
4332,005,100050513021044,005,051302,1044,2,2,0,331.83958,1342907.135939,4585.79027
4333,005,100050515002051,005,051500,2051,4,4,0,57.901673,234319.756434,2001.357127
4334,005,100050515002047,005,051500,2047,12,12,0,35.329914,142975.088101,1852.959686
4335,005,100050513021025,005,051302,1025,1,1,0,12.89701,52192.349401,942.086323
4336,005,100050505012074,005,050501,2074,0,0,0,93.72312,379284.009772,2468.733499
4337,005,100050505011019,005,050501,1019,0,0,0,93.75153,379398.981349,3551.878058
4338,005,100050505032001,005,050503,2001,0,0,0,1.08747,4400.836547,468.088011
4339,005,100050505012158,005,050501,2158,2,2,0,5.840634,23636.206251,777.761187
4340,005,100050505041040,005,050504,1040,3,2,1,18.301305,74062.754502,1261.573712
4341,005,100050505032026,005,050503,2026,6,4,2,2.809047,11367.809039,474.785265
4342,005,100050505042024,005,050504,2024,9,9,0,2.098572,8492.620731,407.77346
4343,005,100050505031043,005,050503,1043,0,0,0,3.183977,12885.095813,962.279678
4344,005,100050505031011,005,050503,1011,2,1,1,4.374006,17700.976224,524.806104
4345,005,100050505031013,005,050503,1013,0,0,0,4.45968,18047.682799,1312.505594
4346,005,100050505032011,005,050503,2011,0,0,0,2.193335,8876.113808,517.352821
4347,005,100050505032018,005,050503,2018,0,0,0,0.271625,1099.227394,208.564143
4348,005,100050505032031,005,050503,2031,0,0,0,2.272716,9197.355475,538.906764
4349,005,100050512022029,005,051202,2029,13,4,9,3.323088,13448.058645,560.123388
4350,005,100050512041001,005,051204,1001,62,2,60,45.553364,184347.923775,3802.59812
4351,005,100050512051045,005,051205,1045,15,8,7,6.716237,27179.646958,660.83027
4352,005,100050512051068,005,051205,1068,6,0,6,3.863711,15635.881943,521.404605
4353,005,100050513033054,005,051303,3054,0,0,0,145.185672,587545.567405,11482.552128
4354,005,100050513033063,005,051303,3063,0,0,0,195.938627,792935.493007,3721.725892
4355,005,100050512011014,005,051201,1014,0,0,0,2.141861,8667.803612,535.831776
4356,005,100050512011003,005,051201,1003,0,0,0,14.03356,56791.801689,3999.921246
4357,005,100050513013062,005,051301,3062,9,6,3,2.427403,9823.351398,445.652803
4358,005,100050512011034,005,051201,1034,28,2,26,3.287201,13302.829988,468.793409
4359,005,100050509011030,005,050901,1030,0,0,0,643.731682,2605089.692654,6788.067697
4360,005,100050509011028,005,050901,1028,12,10,2,2386.917368,9659511.878553,15843.09517
4361,005,100050509023011,005,050902,3011,0,0,0,4.248138,17191.602687,659.190249
4362,005,100050510033031,005,051003,3031,93,29,64,6.723509,27209.076339,821.53493
4363,005,100050509023032,005,050902,3032,167,32,135,210.518609,851938.586654,10544.970285
4364,005,100050509021001,005,050902,1001,0,0,0,13.60445,55055.257593,1781.019404
4365,005,100050513021012,005,051302,1012,3,3,0,0.96162,3891.539044,244.682643
4366,005,100050512044000,005,051204,4000,29,2,27,29.764853,120454.087202,2001.351049
4367,005,100050512034019,005,051203,4019,0,0,0,0.607452,2458.269721,199.526147
4368,005,100050512052042,005,051205,2042,0,0,0,2.519704,10196.882308,410.176193
4369,005,100050513052009,005,051305,2009,14,7,7,6.385696,25841.993888,1315.096821
4370,005,100050513063027,005,051306,3027,98,13,85,14.80007,59893.757554,998.934348
4371,005,100050515001035,005,051500,1035,35,32,3,36.101019,146095.639142,2080.735417
4372,005,100050513061046,005,051306,1046,0,0,0,14.201346,57470.808158,988.17031
4373,005,100050513033023,005,051303,3023,12,10,2,6.595237,26689.978268,741.711002
4374,005,100050519002003,005,051900,2003,4,4,0,301.659388,1220772.230474,5719.830101
4375,005,100050519002009,005,051900,2009,11,10,1,136.778869,553524.444167,3540.305679
4376,005,100050517012043,005,051701,2043,2,1,1,20.021444,81023.909198,1342.14606
4377,005,100050517012088,005,051701,2088,0,0,0,17.311303,70056.35688,1500.769944
4378,005,100050518012051,005,051801,2051,0,0,0,18.452266,74673.669973,1133.745964
4379,005,100050505031027,005,050503,1027,24,24,0,16.664773,67439.943302,1294.4099
4380,005,100050505041007,005,050504,1007,0,0,0,35.089069,142000.424789,1581.159818
4381,005,100050505031003,005,050503,1003,1,1,0,0.256618,1038.495687,131.102847
4382,005,100050505032032,005,050503,2032,0,0,0,2.833378,11466.27329,591.397322
4383,005,100050505012087,005,050501,2087,2,2,0,48.750651,197286.886774,1877.338707
4384,005,100050505012078,005,050501,2078,0,0,0,0.434377,1757.86152,226.208832
4385,005,100050505012100,005,050501,2100,0,0,0,6.26956,25372.0076,959.292254
4386,005,100050505032015,005,050503,2015,0,0,0,0.776631,3142.913418,370.597821
4387,005,100050511012012,005,051101,2012,36,3,33,10.512454,42542.391218,993.245319
4388,005,100050511011017,005,051101,1017,20,13,7,20.120028,81422.863983,1495.911872
4389,005,100050511012013,005,051101,2013,33,11,22,9.577618,38759.246675,944.160658
4390,005,100050511012014,005,051101,2014,2,1,1,1.6368,6623.892725,415.689777
4391,005,100050511013002,005,051101,3002,23,9,14,7.838166,31719.931932,871.313054
4392,005,100050511013012,005,051101,3012,19,3,16,6.101809,24693.146111,734.331009
4393,005,100050511013037,005,051101,3037,0,0,0,0.839179,3396.036275,284.199972
4394,005,100050511013024,005,051101,3024,22,5,17,5.90522,23897.578556,677.540449
4395,005,100050509011075,005,050901,1075,0,0,0,0.741953,3002.575275,280.599217
4396,005,100050509021055,005,050902,1055,5,5,0,5.640956,22828.138507,620.451539
4397,005,100050509023092,005,050902,3092,0,0,0,3.504547,14182.3982,478.03528
4398,005,100050509023091,005,050902,3091,0,0,0,4.632738,18748.025834,641.786779
4399,005,100050513013019,005,051301,3019,17,10,7,11.078367,44832.559843,1010.620165
4400,005,100050513013051,005,051301,3051,14,8,6,10.039537,40628.563702,1055.856122
4401,005,100050512022005,005,051202,2005,9,0,9,4.520084,18292.13198,573.251147
4402,005,100050513031009,005,051303,1009,6,5,1,29.068153,117634.642994,1534.847711
4403,005,100050512021005,005,051202,1005,0,0,0,6.6182,26782.903376,785.023599
4404,005,100050512021003,005,051202,1003,0,0,0,2.907044,11764.389041,522.873776
